Gender,Customer Type,Age,Type of Travel,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Class_Eco,Class_Eco Plus
0.0,0.0,-0.5833333333333334,0.0,0.26766917293233083,-0.5,-0.5,-0.5,1.0,0.5,0.3333333333333333,0.3333333333333333,0.0,-0.5,0.0,1.0,0.0,1.0,0.0,0.0
1.0,0.0,0.875,0.0,-0.43007518796992483,0.0,0.0,0.0,0.5,0.5,0.3333333333333333,-0.3333333333333333,-1.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0
0.0,0.0,-0.5833333333333334,1.0,0.2962406015037594,0.0,0.5,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0
0.0,0.0,0.041666666666666664,0.0,0.05037593984962406,-1.0,-0.5,-0.5,0.5,-0.5,-0.3333333333333333,-1.0,-3.0,-1.0,-1.5,1.0,-1.5,-0.5,0.0,0.0
1.0,1.0,-0.8333333333333334,0.0,0.20676691729323307,0.0,0.0,0.0,-0.5,-0.5,-0.3333333333333333,-0.6666666666666666,-2.0,-0.5,0.0,1.0,-0.5,-0.5,1.0,0.0
0.0,1.0,-0.6666666666666666,0.0,0.29774436090225564,0.5,1.0,1.0,-0.5,0.5,-0.6666666666666666,-0.6666666666666666,-1.0,-0.5,0.5,0.0,0.5,-0.5,1.0,0.0
0.0,0.0,-1.1666666666666667,1.0,-0.3593984962406015,-0.5,0.5,-0.5,-1.0,-1.0,-1.0,-1.0,-3.0,-1.0,0.5,2.0,0.5,-1.0,0.0,1.0
1.0,0.0,-0.2916666666666667,1.0,0.12030075187969924,0.5,-0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,-1.0,-1.0,-1.0,0.5,1.0,0.0
0.0,0.0,-0.9583333333333334,1.0,-0.4345864661654135,0.0,-1.0,0.0,1.0,-0.5,0.3333333333333333,0.3333333333333333,-2.0,0.5,-0.5,0.0,0.0,1.0,1.0,0.0
0.0,0.0,0.75,1.0,1.0172932330827067,0.5,1.0,0.5,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.5,1.0,0.0
0.0,0.0,-0.2916666666666667,0.0,0.5827067669172933,-1.0,-1.0,-1.0,-1.0,0.5,-0.3333333333333333,0.0,0.0,0.0,-0.5,2.0,0.0,-0.5,0.0,0.0
0.0,0.0,-0.375,0.0,0.02481203007518797,0.5,0.5,0.5,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.0,-0.5,-2.0,0.5,1.0,0.0,0.0
0.0,1.0,-0.25,0.0,0.07293233082706767,0.0,0.5,0.5,1.0,0.0,-0.6666666666666666,0.3333333333333333,1.0,0.0,0.5,1.0,0.5,1.0,0.0,0.0
1.0,1.0,0.041666666666666664,0.0,-0.324812030075188,-1.0,-1.0,-1.0,-1.0,-1.5,-1.0,-1.0,-1.0,-0.5,0.0,1.0,0.0,-1.0,0.0,0.0
1.0,0.0,-0.041666666666666664,0.0,0.7127819548872181,0.5,0.5,0.5,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.041666666666666664,0.0,-0.3684210526315789,-1.5,-1.5,-1.5,-0.5,0.5,-0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.08333333333333333,0.0,1.5759398496240602,0.0,0.0,0.0,-0.5,-1.5,0.0,0.3333333333333333,1.0,0.5,0.5,-1.0,0.5,0.5,0.0,0.0
0.0,0.0,-0.75,1.0,-0.32857142857142857,-0.5,0.5,-0.5,0.5,-1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.5,0.0,0.0
0.0,0.0,-1.125,0.0,0.5533834586466165,-1.0,-1.0,-1.0,-1.0,-1.5,-1.0,-1.0,-1.0,0.5,-0.5,-2.0,0.0,-1.0,0.0,0.0
1.0,0.0,-0.7916666666666666,1.0,0.5022556390977444,-0.5,-0.5,-0.5,1.0,-1.0,0.3333333333333333,0.3333333333333333,-2.0,-0.5,-0.5,-2.0,-0.5,1.0,1.0,0.0
0.0,0.0,1.2083333333333333,0.0,-0.3586466165413534,1.0,1.0,1.0,-1.0,-1.0,-0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,1.0,0.5,-0.5,1.0,0.0
