Customer Type,Age,Type of Travel,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Class_Eco,Class_Eco Plus,Arrival Delay in Minutes_log
0.0,-1.3333333333333333,1.0,0.11584454409566518,0.0,0.5,0.0,-0.5,-0.5,-0.6666666666666666,-1.0,0.0,0.5,0.5,1.0,0.0,-0.5,1.0,0.0,0.0
0.0,0.20833333333333334,0.0,1.149476831091181,-0.5,-0.5,-0.5,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,-0.8333333333333334,1.0,-0.21973094170403587,-0.5,1.0,0.0,0.0,-0.5,-0.3333333333333333,-0.5,0.5,0.0,0.5,2.0,0.0,0.0,1.0,0.0,0.0
0.0,-0.125,0.0,0.7892376681614349,-1.0,-1.0,-1.0,-0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,1.0,0.0,0.0,0.0
0.0,0.8333333333333334,0.0,0.4133034379671151,-1.0,-1.0,-1.0,0.5,0.5,0.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0
0.0,0.041666666666666664,0.0,0.42077727952167415,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1.0,-0.625,0.0,-0.23019431988041852,1.0,-1.5,1.0,-1.0,0.5,-1.0,-1.5,0.5,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0
1.0,-0.4583333333333333,0.0,0.07025411061285501,0.0,0.0,0.0,0.0,-0.5,-0.3333333333333333,-0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0
0.0,-1.3333333333333333,1.0,-0.28101644245142005,-0.5,1.0,-0.5,-0.5,-1.0,-0.6666666666666666,-1.0,0.5,-0.5,0.0,0.0,0.5,-0.5,1.0,0.0,0.0
0.0,0.16666666666666666,0.0,-0.4581464872944694,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.4166666666666667,0.0,0.5553064275037369,0.5,0.5,0.5,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5416666666666666,0.0,1.8460388639760836,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.0,0.0,0.0
0.0,0.9583333333333334,0.0,-0.3968609865470852,0.0,0.5,0.5,0.0,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-1.0,1.0,0.0,0.0
0.0,0.625,0.0,-0.4342301943198804,-0.5,-0.5,-0.5,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.08333333333333333,0.0,-0.5029895366218237,0.5,-1.0,-1.0,0.5,0.0,0.0,0.0,-1.5,0.0,-0.5,-1.0,0.0,0.5,1.0,0.0,0.0
0.0,-0.4166666666666667,0.0,0.6651718983557549,-1.0,-1.0,-1.0,-1.0,-1.5,-1.0,-1.5,-0.5,0.5,-0.5,1.0,0.0,-1.0,0.0,0.0,0.0
0.0,-0.7083333333333334,1.0,-0.02242152466367713,-1.0,0.5,-1.0,-0.5,-1.5,-0.6666666666666666,-1.0,0.0,0.0,-0.5,-1.0,-0.5,-0.5,1.0,0.0,0.0
1.0,0.20833333333333334,0.0,-0.27204783258594917,0.5,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5,-0.5,0.5,0.0,1.0,-0.5,0.0,0.0,0.0,0.0
0.0,-0.16666666666666666,1.0,-0.14200298953662183,-0.5,-1.0,-0.5,-0.5,-1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.5,-0.5,1.0,0.0,0.0
0.0,0.5416666666666666,0.0,0.851270553064275,1.0,1.0,1.0,0.0,-1.0,0.3333333333333333,0.5,0.5,0.5,0.5,0.0,0.5,-1.0,0.0,0.0,0.0
0.0,0.4166666666666667,0.0,0.15695067264573992,-0.5,-0.5,-0.5,1.0,0.5,0.3333333333333333,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0
1.0,-0.625,0.0,0.08445440956651719,-0.5,-0.5,-0.5,0.0,-1.0,-0.3333333333333333,-0.5,0.5,0.5,0.0,2.0,0.0,0.0,1.0,0.0,0.0
0.0,0.20833333333333334,0.0,0.08819133034379671,-0.5,-0.5,0.0,-0.5,-1.0,-0.6666666666666666,-1.0,-1.5,0.5,-1.0,0.0,-1.5,-0.5,0.0,1.0,0.0
0.0,-0.875,0.0,0.79745889387145,-1.0,0.5,0.5,-1.0,-1.5,-1.0,-1.5,-0.5,-1.0,-0.5,1.0,-1.0,-1.0,0.0,0.0,0.0
1.0,-0.5416666666666666,0.0,-0.5493273542600897,0.5,0.5,0.5,0.5,0.0,0.0,0.0,-0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0
0.0,-0.25,1.0,-0.10986547085201794,0.5,0.5,0.5,0.0,0.0,-1.0,-0.5,0.0,-1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.0,0.5833333333333334,0.0,0.6659192825112108,0.5,0.5,0.5,0.5,0.5,0.0,-0.5,-0.5,0.0,-0.5,0.0,-0.5,1.0,0.0,0.0,0.0
0.0,0.875,0.0,1.6449925261584455,-1.0,-1.0,-1.0,-1.0,0.0,-0.3333333333333333,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0
0.0,0.041666666666666664,0.0,1.3161434977578474,-0.5,-0.5,-1.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.4583333333333333,0.0,0.6591928251121076,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-1.0,-1.0,-1.5,-1.0,-2.0,-1.0,0.5,0.0,0.0,0.0
0.0,0.16666666666666666,0.0,0.40059790732436473,-0.5,1.0,0.0,-1.0,-0.5,-0.3333333333333333,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,0.0
0.0,0.7083333333333334,0.0,1.748878923766816,0.0,0.0,0.5,0.0,0.5,0.3333333333333333,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0
0.0,0.16666666666666666,0.0,1.0328849028400597,0.5,0.5,0.5,0.5,0.0,0.0,0.0,-1.0,0.5,-1.0,-2.0,-0.5,0.5,1.0,0.0,0.0
0.0,-1.0,1.0,-0.47458893871449925,0.0,-1.0,0.0,0.0,-0.5,0.0,-0.5,0.0,-1.5,-1.0,-1.0,-0.5,0.0,1.0,0.0,0.0
0.0,0.75,0.0,0.5224215246636771,-0.5,-0.5,-0.5,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0
1.0,-0.625,0.0,-0.3460388639760837,0.0,1.0,0.0,1.0,-0.5,0.3333333333333333,0.5,-0.5,0.5,0.5,1.0,0.5,1.0,0.0,0.0,0.0
0.0,-0.20833333333333334,0.0,-0.23168908819133036,0.5,-1.0,-1.0,0.5,-0.5,0.0,0.0,0.0,-1.0,-0.5,0.0,-0.5,0.5,1.0,0.0,0.0
0.0,0.16666666666666666,1.0,-0.025411061285500747,0.0,-0.5,0.0,0.0,0.0,-0.3333333333333333,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,0.0,0.0,0.0
1.0,-0.3333333333333333,0.0,-0.47458893871449925,0.5,0.5,1.0,0.0,0.5,-0.3333333333333333,-0.5,-0.5,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.125,0.0,0.9790732436472347,-1.5,-1.5,-1.5,-1.0,0.5,0.3333333333333333,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,0.0,0.0,0.0,0.0
0.0,-0.4583333333333333,0.0,0.8400597907324364,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.5,-1.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,-0.041666666666666664,0.0,0.09641255605381166,-0.5,-0.5,-0.5,0.0,-1.0,-0.3333333333333333,-0.5,-1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.125,0.0,1.3071748878923768,0.0,0.0,-1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.9583333333333334,1.0,-0.35650224215246634,0.0,-0.5,0.0,0.0,-0.5,0.0,-0.5,-1.5,-0.5,-0.5,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.041666666666666664,0.0,0.9050822122571002,0.0,0.0,0.0,1.0,0.5,0.3333333333333333,0.5,0.5,0.5,0.5,-1.0,0.5,0.0,0.0,0.0,0.0
0.0,-0.20833333333333334,0.0,0.023168908819133034,1.0,-0.5,-0.5,1.0,0.5,0.3333333333333333,0.5,-0.5,-1.5,0.5,2.0,-1.0,1.0,1.0,0.0,0.0
0.0,0.16666666666666666,0.0,0.9738415545590433,0.5,0.5,0.5,-0.5,-1.0,-0.3333333333333333,0.0,0.0,-0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0
0.0,-1.25,1.0,-0.3460388639760837,-0.5,1.0,-0.5,-1.0,-1.0,-1.0,-1.5,0.5,-1.0,0.5,1.0,0.0,-1.0,0.0,1.0,0.0
0.0,0.4166666666666667,0.0,-0.16442451420029897,-1.0,-1.0,-1.0,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,-1.0,1.0,0.08221225710014948,-0.5,0.0,-0.5,-0.5,-1.0,-0.6666666666666666,-1.0,0.5,-1.0,-0.5,-2.0,-1.5,-0.5,1.0,0.0,0.0
0.0,1.2083333333333333,1.0,0.5695067264573991,0.0,0.5,0.0,0.5,-0.5,0.0,0.0,0.0,-0.5,0.0,2.0,0.0,0.5,1.0,0.0,0.0
0.0,-0.08333333333333333,0.0,-0.025411061285500747,0.5,0.5,0.5,-1.0,0.5,-0.6666666666666666,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0
0.0,1.0,0.0,-0.5179372197309418,0.5,-0.5,-0.5,0.5,0.0,0.0,0.0,-0.5,-0.5,0.0,-1.0,0.5,0.5,0.0,1.0,0.0
0.0,0.4583333333333333,0.0,1.6195814648729447,0.5,0.5,0.5,0.0,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,-1.0,0.0,0.0,0.0
0.0,-0.08333333333333333,1.0,-0.4880418535127055,0.0,-1.0,0.0,-1.0,-0.5,-1.0,-1.5,0.0,0.5,0.0,1.0,-0.5,-1.0,1.0,0.0,0.0
0.0,-0.5,0.0,0.6031390134529148,1.0,1.0,1.0,0.0,0.0,-0.3333333333333333,-0.5,0.0,-1.5,-1.5,1.0,-0.5,0.0,0.0,0.0,0.0
1.0,-0.2916666666666667,0.0,-0.47757847533632286,0.0,-1.0,0.0,1.0,-0.5,0.3333333333333333,0.5,-1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.08333333333333333,1.0,0.531390134529148,0.5,1.0,0.5,0.5,0.5,0.3333333333333333,-1.5,-1.5,0.0,-1.5,0.0,-1.5,0.0,1.0,0.0,0.0
1.0,-0.16666666666666666,0.0,-0.3213751868460389,-1.0,-0.5,-1.0,-0.5,-1.5,-0.6666666666666666,-1.0,-1.5,-1.0,0.0,-1.0,0.0,-0.5,1.0,0.0,0.0
0.0,0.2916666666666667,1.0,-0.49252615844544095,-0.5,1.0,-0.5,0.5,-1.0,0.3333333333333333,0.0,-0.5,-0.5,0.5,0.0,0.0,0.5,1.0,0.0,0.0
0.0,0.4166666666666667,0.0,-0.44020926756352763,-1.0,-1.0,-1.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.08333333333333333,1.0,-0.19357249626307924,0.0,0.5,0.0,0.0,0.0,0.3333333333333333,-1.0,-1.0,-0.5,0.0,2.0,-1.0,1.0,1.0,0.0,0.0
0.0,-0.625,0.0,2.077727952167414,1.0,1.0,1.0,-0.5,-1.0,-0.6666666666666666,-1.0,-0.5,0.0,0.0,1.0,0.5,-0.5,0.0,0.0,0.0
0.0,0.625,0.0,0.6517189835575485,0.0,0.0,0.0,-0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.0,0.0,0.0
0.0,-0.6666666666666666,1.0,-0.18086696562032886,0.0,0.5,0.0,1.0,-0.5,-0.6666666666666666,0.5,0.0,-0.5,0.5,2.0,-1.5,1.0,1.0,0.0,0.0
0.0,0.6666666666666666,0.0,-0.4633781763826607,1.0,1.0,-0.5,1.0,0.5,0.3333333333333333,0.5,-0.5,-0.5,-1.0,-2.0,0.0,1.0,1.0,0.0,0.0
0.0,-0.2916666666666667,0.0,0.07100149476831091,0.5,0.5,0.5,0.0,-0.5,-0.3333333333333333,-0.5,0.0,0.5,0.0,1.0,0.5,0.0,0.0,0.0,0.0
0.0,-0.6666666666666666,0.0,2.099402092675635,-1.0,0.5,-1.0,0.5,0.0,0.0,0.0,0.5,-1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
0.0,0.125,0.0,1.8340807174887892,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,0.0,-0.5,0.0,0.0,0.0
0.0,-0.5416666666666666,0.0,1.3482810164424515,0.5,0.5,0.5,0.5,0.0,0.0,-0.5,-0.5,0.5,-1.0,1.0,-0.5,0.5,0.0,0.0,0.0
0.0,-0.75,0.0,-0.14573991031390135,1.0,0.5,0.5,1.0,0.5,-0.3333333333333333,0.5,0.0,-1.5,0.0,-2.0,-0.5,1.0,1.0,0.0,0.0
0.0,-0.4166666666666667,0.0,1.8819133034379671,0.5,0.5,0.5,0.5,0.5,0.0,0.0,-0.5,0.5,0.5,2.0,-1.5,0.5,0.0,0.0,0.0
