id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
98885,Female,Loyal Customer,8,Personal Travel,Eco,991,3,4,3,4,2,3,2,2,4,5,5,4,4,2,0,0.0,neutral or dissatisfied
138,Male,Loyal Customer,45,Business travel,Business,2374,2,2,2,2,2,5,4,4,4,4,4,3,4,5,0,0.0,satisfied
12601,Female,Loyal Customer,20,Personal Travel,Eco,542,2,5,3,4,3,3,3,3,5,4,5,5,4,3,0,0.0,neutral or dissatisfied
89126,Female,Loyal Customer,37,Business travel,Business,1892,1,1,1,1,2,5,4,5,5,5,5,3,5,5,0,0.0,satisfied
65880,Male,Loyal Customer,60,Business travel,Business,1389,1,1,1,1,4,5,4,2,2,2,2,4,2,3,0,0.0,satisfied
76255,Male,Loyal Customer,41,Business travel,Business,1399,4,4,4,4,5,4,4,4,4,4,4,5,4,3,0,0.0,satisfied
4361,Female,disloyal Customer,25,Business travel,Business,528,5,0,5,5,1,5,1,1,5,2,4,4,4,1,0,0.0,satisfied
109614,Female,disloyal Customer,29,Business travel,Business,930,3,3,3,1,3,3,3,3,4,4,5,4,4,3,0,0.0,neutral or dissatisfied
70155,Male,Loyal Customer,8,Personal Travel,Eco,460,2,5,2,5,2,2,2,2,5,3,4,3,5,2,0,0.0,neutral or dissatisfied
22554,Male,Loyal Customer,44,Business travel,Business,223,3,3,4,3,4,4,4,4,4,4,5,4,4,3,0,0.0,satisfied
23243,Female,Loyal Customer,50,Business travel,Business,1579,4,4,4,4,3,5,5,4,4,4,4,5,4,3,0,0.0,satisfied
105531,Female,Loyal Customer,53,Business travel,Business,3306,3,3,3,3,4,4,5,5,5,5,5,4,5,5,0,0.0,satisfied
12365,Female,Loyal Customer,63,Business travel,Eco,305,3,4,4,4,3,3,4,3,3,3,3,4,3,1,0,0.0,neutral or dissatisfied
117905,Female,Loyal Customer,55,Business travel,Business,255,2,2,2,2,5,4,5,4,4,4,4,4,4,3,0,0.0,satisfied
32569,Female,Loyal Customer,38,Business travel,Eco,163,4,1,1,1,4,4,4,4,1,4,3,2,4,4,0,0.0,neutral or dissatisfied
62586,Female,Loyal Customer,30,Business travel,Business,1726,1,1,1,1,1,1,1,1,3,5,3,4,4,1,0,0.0,neutral or dissatisfied
72755,Male,Loyal Customer,23,Personal Travel,Eco,806,1,4,1,4,2,1,2,2,4,4,3,2,3,2,0,0.0,neutral or dissatisfied
31230,Female,disloyal Customer,45,Business travel,Business,472,4,3,3,4,3,4,3,3,3,5,4,4,3,3,0,0.0,neutral or dissatisfied
55780,Male,Loyal Customer,36,Personal Travel,Eco,646,2,1,2,2,2,2,4,2,4,4,2,4,1,2,0,0.0,neutral or dissatisfied
96646,Female,Loyal Customer,53,Business travel,Business,1975,5,5,5,5,3,2,5,5,5,5,5,3,5,1,0,0.0,satisfied
34094,Female,Loyal Customer,50,Business travel,Business,1046,2,2,2,2,5,5,5,5,5,5,5,4,5,3,0,0.0,satisfied
